Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Услуги по аттестации/оценке и проверке знаний/уровня подготовки персонала/сотрудников;2021-09-16 16:30:00;2021-09-16 16:51:42;Завершено;"БИК: NBRKKZKX, ИИК: KZ48125KZTT004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Смесители;2021-09-23 10:00:00;2021-10-07 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Перезарядка огнетушителей ОП2, ОП3, ОП5;2021-09-29 11:00:00;2021-09-29 13:17:18;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Канцелярские и хозяйственные товары;2021-09-23 09:00:00;2021-09-23 14:57:51;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка сканера штрих-кода;2021-09-13 12:00:00;2021-09-13 12:21:51;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по оценке имущества;2021-09-08 09:00:00;2021-09-09 21:01:15;Завершено;"БИК: NBRKKZKX, ИИК: KZ91125KZTE005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
аренда служебных помещений и сопутствующих услуг в Кызылординском областном филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-17 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Услуги по заправке техническими газами/жидкостями;2021-09-23 09:00:00;2021-09-23 13:42:27;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги рассылки информации посредством сотовой связи;2021-09-29 09:00:00;2021-09-29 15:56:21;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по испытанию деревянных конструкций на огнезащиту ;2021-09-13 12:00:00;2021-09-20 12:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Товарно-материальные запасы (горелка ацетиленовая, кусторез, отвертки, набор сантехника, плотника, слесаря и др);2021-09-08 10:00:00;2021-09-15 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Лампа накаливания;2021-09-16 15:00:00;2021-09-21 18:36:39;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
O закупках услуг по мойке стеклянных витражей и окон;2021-09-13 09:00:00;2021-09-15 16:27:03;Завершено;"БИК: NBRKKZKX, ИИК: KZ91125KZTE005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по поверке средств измерений;2021-09-29 09:00:00;2021-10-01 15:57:06;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZTD005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Предоставление доступа к интернет-ресурсу Учет.kz;2021-09-08 09:00:00;2021-09-15 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по демонтажу/разделке (разборке) техники и оборудования;2021-09-23 09:00:00;2021-09-23 14:43:49;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Предоставление доступа к интернет-ресурсу Учет.kz;2021-09-16 12:00:00;2021-09-16 16:58:11;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по научно-технической обработке документов;2021-09-28 17:30:00;2021-09-30 12:52:25;Завершено;"БИК: NBRKKZKX, ИИК: KZ28125KZT7306100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому обслуживанию испытательного/диагностического оборудования;2021-09-13 09:00:00;2021-09-14 17:16:19;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Мыло;2021-09-08 08:00:00;2021-09-15 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги автомобильного транспорта по перевозкам грузов (кроме перевозки нефтепродуктов, замороженных или охлажденных грузов, жидких или газообразных грузов, животных, почты и грузов в контейнерах);2021-09-23 09:00:00;2021-09-27 09:55:32;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по оценке имущества;2021-09-16 12:00:00;2021-09-16 12:25:09;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги автомобильного транспорта по перевозкам грузов в контейнерах;2021-09-23 09:00:00;2021-09-27 11:57:01;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка работ по проведению замены купе кабин лифта ;2021-09-28 15:00:00;2021-10-08 15:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по ремонту/реконструкции электрического, электрораспределительного/регулирующего оборудования и аналогичной аппаратуры;2021-09-13 09:00:00;2021-09-13 14:53:01;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Ткань;2021-09-08 08:00:00;2021-09-15 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
аренда служебных помещений и сопутствующих услуг в Мангистауском областном филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-15 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
